planetlab-2.cs.uh.edu 208.117.131.116
planet1.pnl.nitech.ac.jp 133.68.253.242
planetlab-1.cs.auckland.ac.nz 130.216.1.22
pl2.planetlab.ics.tut.ac.jp 133.15.59.2
planetlab2.thlab.net 141.11.0.162
planetlab1.uta.edu 129.107.35.131
planet1.cc.gt.atl.ga.us 143.215.131.206
planetlab2.uc3m.es 163.117.253.23
planetlab2.cs.vu.nl 130.37.193.143
planetlab6.cs.uiuc.edu 72.36.112.79
planetlab1.just.edu.jo 87.236.232.153
planetlab1.sfc.wide.ad.jp 203.178.143.10
planetlab1.bupt.edu.cn 211.68.70.34
node2.lbnl.nodes.planet-lab.org 198.128.56.12
planetlab-um00.di.uminho.pt 193.136.19.13
planetlab2.csg.uzh.ch 192.41.136.219
planetlab2.dtc.umn.edu 146.57.249.99
planetlab1.csuohio.edu 137.148.16.10
planetlab2.iis.sinica.edu.tw 140.109.17.181
ple2.tu.koszalin.pl 62.108.171.76
planet2.inf.tu-dresden.de 141.76.45.18
planetlab2.esprit-tn.com 41.225.7.4
planetlab4.goto.info.waseda.ac.jp 133.9.81.164
planetlab-1.imperial.ac.uk 193.63.75.18
planetlab2.georgetown.edu 141.161.20.33
nodeb.howard.edu 138.238.250.157
planetlab2.di.unito.it 130.192.157.132
pl02.comp.polyu.edu.hk 202.125.215.12
pl1.pku.edu.cn 162.105.205.21
75-130-96-12.static.oxfr.ma.charter.com 75.130.96.12
planetlab1.fit.vutbr.cz 147.229.8.26
planetlab3.cs.columbia.edu 128.59.20.228
planetlab1.cesnet.cz 195.113.161.82
cs-planetlab3.cs.surrey.sfu.ca 206.12.16.154
roam1.cs.ou.edu 129.15.78.30
planetlab0.otemachi.wide.ad.jp 203.178.133.2
planet1.cs.rochester.edu 128.151.65.101
planetlab2.unineuchatel.ch 192.42.43.23
dplanet2.uoc.edu 84.88.58.155
planetlab2.acis.ufl.edu 128.227.150.12
onelab10.pl.sophia.inria.fr 138.96.116.20
planetlab-04.vt.nodes.planet-lab.org 198.82.160.221
planetlab-node1.it-sudparis.eu 157.159.226.72
pl2.bell-labs.fr 159.217.144.112
plab1-itec.uni-klu.ac.at 143.205.172.11
aladdin.planetlab.extranet.uni-passau.de 195.37.16.121
planetlab2.rutgers.edu 165.230.49.115
planetlab2.singaren.net.sg 203.30.39.241
planetlab1.engr.uconn.edu 137.99.11.86
planetlab2.pop-pa.rnp.br 200.129.132.19
planetlab2.temple.edu 129.32.84.161
planetlab-node-02.ucd.ie 193.1.170.136
planetlab1.eee.hku.hk 202.189.126.85
planetlab2.cs.uoregon.edu 128.223.8.112
gschembra4.diit.unict.it 151.97.9.225
planetlab2.mta.ac.il 212.199.61.205
planetlab2.cs.okstate.edu 139.78.141.245
planetlab2.aut.ac.nz 156.62.231.244
plonk.cs.uwaterloo.ca 129.97.74.14
node1.planetlab.mathcs.emory.edu 170.140.119.69
planetlab1.cs.otago.ac.nz 139.80.206.132
planetlab1.iitkgp.ac.in 203.110.240.190
planetlab2.cis.upenn.edu 158.130.6.253
planck227ple.test.ibbt.be 193.191.148.227
pnode2.pdcc-ntu.singaren.net.sg 203.30.39.239
pl2.eng.monash.edu.au 130.194.252.9
eve.ee.ntu.edu.tw 140.112.42.159
planetlab2.eecs.umich.edu 141.213.4.202
planetlab3.informatik.uni-erlangen.de 131.188.44.104
planetlab-1.di.fc.ul.pt 194.117.20.214
plgmu2.ite.gmu.edu 199.26.254.66
planetlab-1.ssvl.kth.se 192.16.125.11
planetlab2.cs.uit.no 129.242.19.197
planetlab2.diku.dk 192.38.109.144
planetlab1.polito.it 130.192.9.230
planetlab2.wiwi.hu-berlin.de 141.20.103.3
venus.silicon-valley.ru 82.179.176.44
